#Frame    NC1[native] NC1[nonnative] NC1[mindist] NC1[maxdist]
     154         1899             92       1.2587      60.5127
     155         1901            118       1.2527      61.6871
     156         1884            143       1.2740      60.3787
     157         1897            110       1.2594      59.8620
     158         1887            108       1.2708      60.5599
     159         1875            111       1.2540      59.3420
     160         1885            112       1.2674      60.4822
     161         1896            118       1.2714      59.6420
     162         1882            118       1.2657      59.1654
     163         1893            106       1.2685      59.2803
     164         1895            118       1.2696      60.2511
     165         1909            101       1.2586      59.6432
     166         1896            131       1.2646      60.0121
     167         1890            102       1.2545      58.8513
     168         1909            115       1.2455      59.3786
     169         1884            116       1.2488      59.6772
     170         1902            108       1.2679      59.5276
     171         1885            111       1.2632      59.0480
     172         1881             94       1.2600      60.2165
     173         1888            125       1.2586      60.4133
     174         1899            124       1.2747      60.1322
     175         1886            112       1.2558      59.6309
     176         1903            105       1.2751      59.7021
     177         1891            122       1.2563      59.3781
     178         1908            115       1.2667      59.2134
     179         1907            109       1.2719      59.1676
     180         1901             97       1.2631      60.0301
     181         1897            105       1.2721      59.7633
     182         1885             97       1.2595      59.9183
     183         1911            124       1.2613      59.4872
     184         1905            129       1.2666      58.7747
     185         1915            107       1.2730      58.4875
     186         1882            105       1.2545      59.9995
     187         1902             94       1.2576      59.9300
     188         1909            125       1.2743      60.8271
     189         1883            107       1.2557      59.2099
     190         1891            119       1.2715      60.1935
     191         1907            101       1.2459      59.9634
     192         1901            101       1.2749      60.0972
     193         1900            102       1.2530      59.0958
     194         1867            109       1.2548      59.8923
     195         1899            122       1.2663      59.1404
     196         1892             94       1.2549      59.0280
     197         1913            121       1.2545      59.3910
     198         1909            111       1.2577      59.0188
     199         1889             96       1.2366      59.7361
     200         1910             99       1.2609      59.3577
     201         1904             98       1.2630      59.2561
     202         1903            126       1.2549      60.0396
     203         1889             96       1.2802      60.2028
     204         1875            126       1.2637      59.6406
     205         1898            130       1.2734      59.7277
     206         1907            142       1.2657      60.0059
     207         1901            130       1.2569      59.1348
     208         1904            109       1.2647      61.0743
     209         1879            101       1.2633      60.7537
     210         1894            125       1.2587      59.9590
     211         1904            126       1.2651      59.5175
     212         1909            107       1.2470      59.4422
     213         1884            109       1.2673      59.3825
     214         1881            119       1.2676      59.3131
     215         1887            122       1.2507      58.1593
     216         1893            116       1.2409      60.3228
     217         1897             99       1.2617      59.0223
     218         1892            107       1.2624      58.7675
     219         1883            121       1.2773      58.8476
     220         1920            109       1.2310      59.5180
     221         1904            131       1.2557      58.4557
     222         1894            113       1.2702      59.0791
     223         1886            116       1.2490      58.3086
     224         1903            106       1.2727      59.1744
     225         1889            114       1.2463      60.2252
     226         1894            122       1.2708      59.9516
     227         1907            114       1.2468      60.8533
     228         1895            124       1.2721      59.9318
     229         1893            107       1.2683      59.5431
     230         1882            111       1.2644      59.5096
     231         1889            117       1.2558      59.9100
     232         1908            129       1.2780      61.0504
     233         1882             98       1.2466      61.3424
     234         1895            100       1.2567      60.9249
     235         1902            109       1.2579      60.7985
     236         1913            115       1.2598      59.5852
     237         1898            104       1.2641      60.3293
     238         1889            107       1.2667      60.2587
     239         1890            131       1.2513      60.6465
     240         1868            121       1.2359      60.7772
     241         1896            120       1.2809      59.8468
     242         1901            109       1.2749      59.4021
     243         1902            121       1.2482      60.4965
     244         1896            116       1.2542      59.8039
     245         1902            108       1.2663      60.9219
     246         1900            124       1.2611      59.9891
     247         1903            112       1.2646      59.1525
     248         1894            125       1.2557      58.6540
     249         1889            118       1.2610      59.7089
     250         1911            119       1.2509      59.7676
     251         1901            121       1.2623      59.9160
     252         1897            131       1.2589      59.4899
     253         1899            131       1.2586      59.5545
     254         1885            122       1.2621      58.8715
     255         1912            114       1.2680      59.0635
     256         1895            136       1.2647      59.4058
     257         1887            118       1.2378      59.2232
     258         1919            105       1.2409      59.4861
     259         1909            132       1.2556      58.6997
     260         1896             97       1.2594      58.4463
     261         1903            114       1.2581      58.5192
     262         1901            129       1.2523      58.8863
     263         1901            106       1.2527      59.9199
     264         1899            124       1.2511      58.8740
     265         1900             98       1.2472      59.8063
     266         1904            111       1.2408      59.3603
     267         1903            136       1.2581      58.4844
     268         1908            100       1.2731      59.5148
     269         1896            118       1.2404      58.8476
     270         1903            119       1.2594      59.2797
     271         1913            111       1.2792      59.1077
     272         1909            114       1.2540      59.1826
     273         1905            116       1.2546      58.6356
     274         1911            127       1.2634      58.0849
     275         1910            124       1.2452      58.2064
     276         1906            105       1.2656      59.1051
     277         1898            109       1.2441      59.7660
     278         1894            112       1.2624      59.8175
     279         1919            131       1.2307      58.9940
     280         1904            100       1.2638      58.4413
     281         1912            114       1.2524      59.4241
     282         1901            127       1.2641      59.8772
     283         1889            121       1.2529      59.6527
     284         1916            106       1.2621      59.3519
     285         1898            111       1.2654      59.2287
     286         1897            123       1.2623      59.7294
     287         1909            115       1.2494      58.5403
     288         1903            117       1.2674      59.3743
     289         1911            125       1.2669      59.6367
     290         1918            104       1.2518      59.7802
     291         1909            125       1.2553      59.3632
     292         1887            118       1.2715      59.1985
     293         1923            126       1.2583      59.1081
     294         1900             94       1.2566      59.6184
     295         1891             96       1.2665      60.1355
     296         1892            104       1.2635      59.7630
     297         1911            104       1.2724      59.9959
     298         1905            110       1.2511      58.8842
     299         1904            107       1.2671      59.5234
     300         1902            111       1.2487      58.9281
     301         1899            110       1.2621      59.2670
     302         1897            123       1.2485      58.5498
     303         1905            117       1.2622      59.6253
     304         1898            114       1.2327      59.7193
     305         1914            119       1.2524      59.1279
     306         1885            115       1.2614      59.7230
     307         1898            109       1.2699      59.4646
     308         1907            103       1.2592      59.2114
     309         1879            129       1.2569      59.1463
     310         1896            116       1.2405      59.1531
     311         1893             98       1.2731      59.8117
     312         1905            109       1.2609      58.7761
     313         1887            111       1.2729      58.4239
     314         1896            120       1.2695      58.4934
     315         1900             89       1.2707      59.6788
     316         1904            115       1.2634      59.4701
     317         1905            116       1.2706      58.8751
     318         1894             96       1.2663      59.3879
     319         1900            110       1.2749      59.4819
     320         1881            111       1.2653      59.8212
     321         1899            116       1.2543      60.5363
     322         1885            110       1.2808      60.2176
     323         1893            102       1.2543      60.7928
     324         1891            116       1.2427      60.1302
     325         1894            117       1.2599      60.7422
     326         1895            119       1.2663      61.7144
     327         1900            107       1.2610      61.1645
     328         1907            119       1.2529      60.2688
     329         1918            104       1.2702      60.6810
     330         1885            103       1.2656      60.5531
     331         1890            108       1.2580      59.8821
     332         1897             95       1.2569      59.8153
     333         1910            120       1.2641      59.5166
     334         1910            121       1.2405      59.8112
     335         1898            133       1.2534      60.7416
     336         1913            107       1.2649      59.6838
     337         1912            129       1.2621      60.2273
     338         1910            109       1.2663      60.2629
     339         1896            108       1.2726      60.1514
     340         1898            124       1.2731      61.1118
     341         1902            104       1.2570      61.3439
