#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
     127    6.799   -8.116   -1.453   -2.553    4.050
     128    4.619  -12.627    2.650   -7.463    6.039
     129    4.459  -12.831   -2.208   -4.532    6.097
     130    2.099   -9.546    2.303   -2.246    4.289
     131    1.761  -10.682    3.975   -3.198    5.237
     132    1.526  -13.520    1.980   -3.451    2.443
     133    9.297   -9.442    3.552   -6.895    4.015
     134    9.540  -10.474    0.937   -3.745    5.594
     135    8.231  -14.565    1.616   -6.205    7.323
     136    5.487  -11.935    5.500   -2.571    1.832
     137   -0.940  -14.225   -1.124   -7.347    0.956
     138    0.201  -10.840    3.843   -1.152    3.077
     139    0.976  -12.059    6.358   -2.937    5.047
     140   -1.005  -13.458    5.631   -4.729    1.080
     141   -0.651  -10.974    7.654   -2.071    6.687
     142   -3.832  -10.454    6.254   -1.883    1.959
     143    2.203  -10.964    2.248   -2.636    4.332
     144   -4.051  -13.098    4.424   -5.071    7.296
     145   -2.890  -10.048   -0.350   -7.667    6.993
     146   -4.380   -9.820   -0.169  -10.963    4.791
     147    2.881   -9.390   -3.934   -6.972    1.802
     148    6.505  -13.328   -1.022   -9.623    1.187
     149   -0.704  -15.885   -5.815   -8.146    3.399
     150   -0.061  -14.648   -7.675   -7.822    1.766
     151   -3.369  -14.344   -7.400   -5.705    1.183
     152   -2.969  -15.031  -12.764   -8.894    4.028
     153   -1.723  -12.139   -6.928   -4.045    2.667
     154   -4.045  -14.021   -6.562   -2.939    5.762
     155   -2.803  -14.714   -8.702   -5.958    4.466
     156    5.492  -10.624   -7.997   -1.589    3.679
     157   -0.216   -6.717   -3.749    0.390    6.140
     158   -4.022  -12.996   -1.565   -2.575    5.851
     159   -2.242  -12.394   -1.590   -3.210    2.809
     160    5.065  -15.692   -4.144   -8.182    5.781
     161    6.184  -14.738   -7.742   -8.479    0.441
     162    7.765  -10.741  -10.455   -5.345   -0.040
     163    6.514   -8.356   -8.314   -5.458    1.993
     164    7.840   -7.688   -8.214   -2.673    1.201
     165    3.903   -9.806   -7.213   -6.839    5.152
     166    6.907   -6.757  -10.193   -3.461    0.738
     167    2.366   -7.882   -7.680   -6.948    2.581
     168    7.400  -10.521    1.417   -4.295    4.979
     169    1.115  -10.682    4.857   -3.439    4.773
     170    3.251   -9.866    5.927   -5.223    7.153
     171   10.281   -4.996    2.701   -1.100    1.898
     172    8.181   -5.994    3.628   -1.088    2.949
     173    9.936   -6.124    0.981   -3.697    5.196
     174   12.445   -9.634   -2.064   -8.546    2.288
     175   10.390   -9.201   -0.899   -4.909    2.976
     176    6.553  -12.878   -0.389   -4.937    7.750
     177    9.345   -9.789   -4.003   -4.657    1.842
     178   10.305   -6.766    1.308   -3.959    7.152
     179   12.681  -11.296    4.034   -6.898    8.982
     180   14.967   -8.882    2.517   -8.517    6.420
     181   13.923  -14.022    1.767  -15.192    9.389
     182   12.374   -7.960   -0.073   -8.272    3.889
     183   16.505   -6.150    5.278   -8.416    5.391
     184   12.532   -5.992    4.856  -11.340    4.730
     185   11.469   -5.275    5.385   -8.846    7.379
     186    7.166   -6.603    2.213   -4.706    7.796
     187   13.470   -5.933    2.828   -0.532    6.371
     188   11.313   -4.894    5.265   -5.825    9.245
     189    7.451   -4.305    5.687   -4.827    5.796
     190    5.054   -5.271    0.838   -4.769    3.690
     191    1.852   -8.684   -2.997   -2.735    9.069
     192    0.862   -5.578    3.149   -4.351   10.950
     193    6.445   -7.852    1.768   -5.298    8.484
     194   -1.610   -8.218    0.298   -5.199    1.810
     195    4.287  -11.081   -3.096   -8.333    2.166
     196    7.815   -9.264   -5.674   -7.849    5.535
     197    8.307   -8.055   -6.537   -8.922    3.906
     198    8.549   -6.106   -2.717   -7.570    3.160
     199    6.712   -8.052   -5.379  -10.795    5.655
     200    4.429  -13.440   -7.393   -9.037    1.877
     201    7.484   -8.251    0.827   -8.335    9.132
     202    8.530  -11.094   -0.465   -7.747    4.712
     203    9.482  -10.374    1.772   -9.012    6.055
     204   10.169   -7.281    0.207   -6.392    2.346
     205   13.503   -2.894    1.538   -8.070    8.238
     206    7.327   -9.856   -4.293   -9.522    6.400
     207    8.805   -9.968   -7.080  -12.522    3.859
     208   -1.368  -11.335   -8.518   -7.186    2.284
     209   -2.177   -9.698   -5.945   -4.236   -0.400
     210    1.805  -11.289   -3.400   -5.268    3.872
     211    0.311  -12.305   -6.810   -6.590    4.627
