#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
     121   10.780   -5.962  -15.013   -5.843    1.345
     122    6.767   -7.017  -12.372   -2.146   -0.257
     123    7.874   -7.440  -15.710   -9.395    1.315
     124    6.905   -7.177  -13.648   -9.318    3.160
     125    4.998   -6.164  -11.833   -9.182    0.919
     126   11.977    0.121  -14.875   -8.502    3.575
     127    9.400   -1.042  -15.238   -4.257    2.994
     128    7.963    1.333  -16.455   -0.243    2.024
     129    7.742   -1.927  -16.169   -5.672   -2.528
     130    8.609   -0.207  -13.258   -4.537    1.266
     131    8.409    1.377  -11.735   -4.121    1.415
     132    8.019   -1.452  -11.463   -6.653    1.245
     133    8.426    2.131   -8.669    1.515   -2.233
     134    7.892    0.665  -13.713   -3.644   -5.109
     135    4.265   -3.306  -11.471   -4.344    1.604
     136    6.870   -0.732  -13.498   -0.644    1.936
     137    5.316   -2.802  -14.108   -6.299   -2.464
     138    7.981   -0.257  -13.428   -9.683   -5.420
     139    4.932    2.838  -10.547   -4.164   -5.522
     140    4.864   -3.907  -11.831   -1.647   -3.267
     141    7.014   -0.352  -13.784   -6.431   -5.419
     142    4.767   -1.130  -15.231  -10.235   -2.248
     143    6.994    0.189  -17.698  -10.754    0.235
     144    9.865   -1.224  -20.719   -8.248    1.451
     145    9.163    0.139  -17.641  -11.010   -0.823
     146    4.770    1.532  -17.536   -6.542    0.995
     147    9.501   -1.744  -15.029  -10.187    4.300
     148    3.151   -1.749  -15.542   -6.242    2.931
     149    3.849   -3.870  -16.163   -6.740   -0.586
     150    3.933   -0.741  -17.325   -4.671   -0.653
     151    2.504   -3.566  -13.159   -5.961   -1.633
     152    4.256   -4.476  -16.001   -6.658    2.249
     153    4.146   -3.090  -14.560    1.489    1.966
     154    5.023    0.868  -15.978    3.982    4.536
     155    4.658   -3.914  -16.346   -2.859    4.185
     156    6.797   -3.591  -16.459   -4.253    4.886
     157    5.231   -4.324  -15.429   -2.184    3.707
     158    5.461   -1.142  -13.255    0.036    1.554
     159    6.290   -1.275  -13.710    1.883    7.278
     160    6.709   -2.605  -14.128   -1.701   -0.089
     161    6.914   -1.794  -14.868   -2.688    0.940
     162    6.686    1.852  -18.170    6.095    3.806
     163    9.308    3.535  -16.927    3.937    4.295
     164    9.533    3.706  -14.586    1.852    2.623
     165   10.318    3.645  -13.117   -2.409    0.188
     166    5.536   -2.528  -14.110   -2.282    1.277
     167    5.931   -2.146  -13.129   -2.527   -4.591
     168    7.609   -4.062  -13.051   -6.815   -0.420
     169    9.476   -0.759  -13.274   -4.451   -2.997
     170    3.406    1.568  -15.196    1.646   -3.035
     171    4.538    0.157  -14.515    2.217    0.250
     172    1.207   -4.670  -13.759    2.057   -6.665
     173    5.797   -3.819  -13.582   -1.767   -6.831
     174    6.384   -2.321  -13.866   -2.165   -5.254
     175    2.864   -2.928  -16.634   -3.621   -3.958
     176    8.559   -1.448  -11.964   -4.204   -0.744
     177    4.825   -2.055  -13.811   -2.157   -3.153
